glyph[0] {.notdef,0x01}
glyph[187] {Egrave,U+00C8}
glyph[188] {Eacute,U+00C9}
glyph[189] {Ecircumflex,U+00CA}
glyph[190] {Igrave,U+00CC}
glyph[191] {Iacute,U+00CD}
glyph[192] {Icircumflex,U+00CE}
glyph[193] {Ograve,U+00D2}
glyph[194] {Oacute,U+00D3}
glyph[195] {Ocircumflex,U+00D4}
glyph[196] {Ugrave,U+00D9}
glyph[197] {Uacute,U+00DA}
glyph[198] {Ucircumflex,U+00DB}
glyph[199] {Yacute,U+00DD}
glyph[200] {iacute,U+00ED}
glyph[201] {icircumflex,U+00EE}
glyph[202] {ograve,U+00F2}
glyph[203] {ocircumflex,U+00F4}
glyph[204] {yacute,U+00FD}
glyph[205] {Amacron,U+0100}
glyph[206] {Cacute,U+0106}
glyph[207] {cacute,U+0107}
glyph[208] {Ccircumflex,U+0108}
glyph[209] {ccircumflex,U+0109}
glyph[210] {Ccaron,U+010C}
glyph[211] {ccaron,U+010D}
glyph[212] {Dcaron,U+010E}
glyph[213] {Emacron,U+0112}
glyph[214] {Ebreve,U+0114}
glyph[215] {Hcircumflex,U+0124}
glyph[216] {hcircumflex,U+0125}
glyph[217] {Imacron,U+012A}
glyph[218] {IJ,U+0132}
glyph[219] {Jcircumflex,U+0134}
glyph[220] {uni0137,U+0137}
glyph[221] {Lacute,U+0139}
glyph[222] {lacute,U+013A}
glyph[223] {uni013B,U+013B}
glyph[224] {uni013C,U+013C}
glyph[225] {Tcaron,U+0164}
glyph[226] {tcaron,U+0165}
glyph[227] {Umacron,U+016A}
glyph[228] {Ubreve,U+016C}
glyph[229] {Uring,U+016E}
glyph[230] {Uhungarumlaut,U+0170}
glyph[231] {Wcircumflex,U+0174}
glyph[232] {wcircumflex,U+0175}
glyph[233] {Ycircumflex,U+0176}
glyph[234] {ycircumflex,U+0177}
glyph[235] {Zacute,U+0179}
glyph[236] {zacute,U+017A}
glyph[237] {zdotaccent,U+017C}
glyph[238] {Zcaron,U+017D}
glyph[239] {zcaron,U+017E}
glyph[240] {uni021B,U+021B}
glyph[241] {Nacute,U+0143}
glyph[242] {uni0145,U+0145}
glyph[243] {Ncaron,U+0147}
glyph[244] {Omacron,U+014C}
